Vd	Vo
96	3360
96	3360
98	3360
96	3360
96	3320
96	3360
98	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
98	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
98	3360
98	3360
96	3360
98	3360
96	3360
98	3360
96	3360
98	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
96	3360
96	3360
98	3360
96	3320
98	3360
98	3360
96	3360
96	3360
98	3360
96	3320
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3320
98	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
98	3360
96	3360
96	3320
96	3320
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
96	3320
98	3360
96	3360
96	3360
98	3320
98	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3320
96	3320
98	3320
96	3320
96	3320
96	3320
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3320
98	3320
98	3360
98	3360
98	3360
98	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3320
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3320
96	3360
96	3360
98	3360
96	3320
96	3320
96	3320
98	3360
96	3360
98	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3320
96	3320
98	3320
96	3320
96	3320
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3320
96	3320
96	3320
98	3320
96	3320
96	3360
96	3320
98	3360
96	3360
96	3320
96	3360
98	3360
96	3320
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3320
96	3320
96	3360
98	3360
98	3360
98	3360
96	3360
98	3360
96	3360
96	3360
98	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3320
96	3360
98	3360
96	3360
96	3320
96	3320
96	3320
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3320
96	3360
98	3360
96	3360
96	3320
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3320
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3320
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3320
96	3360
96	3360
98	3360
96	3320
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
96	3360
96	3360
96	3360
96	3320
96	3360
98	3360
96	3320
96	3360
96	3360
96	3360
96	3320
96	3320
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3320
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3320
96	3360
98	3360
98	3360
96	3320
96	3360
98	3360
98	3360
96	3360
96	3360
98	3320
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3320
96	3360
98	3360
98	3360
96	3360
96	3320
96	3360
98	3360
96	3320
96	3320
96	3320
98	3360
96	3360
96	3320
98	3360
98	3360
96	3360
96	3320
98	3360
98	3320
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3320
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3320
96	3320
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3320
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
100	3360
96	3360
96	3360
98	3360
98	3360
96	3320
96	3360
98	3360
98	3360
96	3320
96	3320
98	3360
98	3360
96	3320
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3320
98	3320
98	3360
96	3360
96	3360
96	3360
98	3360
96	3320
96	3320
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3320
96	3320
98	3360
98	3320
96	3320
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3320
96	3360
98	3360
98	3320
96	3320
96	3320
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3320
96	3360
98	3360
98	3360
96	3360
96	3320
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3320
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3320
96	3320
96	3320
96	3360
98	3360
96	3320
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3320
98	3320
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3320
96	3360
96	3360
96	3320
96	3320
96	3360
96	3360
96	3320
96	3320
98	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3320
96	3360
98	3360
98	3360
98	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
98	3360
98	3360
98	3360
98	3360
96	3360
96	3320
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
98	3360
96	3360
98	3320
96	3320
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3320
96	3320
98	3320
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3320
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3320
96	3360
96	3320
98	3360
96	3360
96	3360
96	3320
98	3360
96	3320
96	3320
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
98	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
98	3360
98	3320
98	3360
96	3360
98	3360
96	3360
98	3360
96	3360
98	3360
98	3360
98	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
96	3360
98	3360
96	3360
96	3320
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
100	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
100	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3320
96	3320
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3320
96	3320
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3320
96	3320
96	3360
98	3320
96	3320
96	3320
96	3320
98	3320
96	3320
96	3320
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
100	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3320
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3320
96	3320
96	3360
98	3360
96	3320
96	3320
96	3360
98	3360
96	3320
96	3360
98	3360
98	3320
96	3320
96	3360
96	3360
98	3360
96	3320
96	3360
96	3360
98	3360
96	3360
96	3320
96	3360
98	3360
96	3320
96	3320
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3320
96	3360
98	3360
98	3360
96	3320
96	3320
96	3360
98	3360
96	3360
96	3360
96	3320
98	3360
96	3320
96	3320
98	3360
98	3360
98	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3320
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3320
96	3320
96	3320
98	3320
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3320
98	3360
98	3320
98	3360
96	3320
96	3320
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
98	3320
96	3320
96	3360
96	3360
98	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
98	3360
96	3320
96	3320
96	3320
96	3320
96	3320
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3320
96	3320
98	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3320
96	3320
98	3320
96	3320
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
98	3320
96	3320
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3320
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
98	3320
98	3360
96	3360
98	3360
98	3360
98	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
98	3320
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
98	3360
98	3360
98	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3320
98	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3320
96	3320
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
98	3320
96	3320
96	3360
96	3360
98	3360
96	3360
96	3320
96	3360
98	3360
96	3360
98	3360
98	3360
98	3360
98	3360
98	3360
98	3360
98	3360
98	3360
96	3360
98	3360
98	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3320
98	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3320
96	3320
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
96	3320
96	3320
96	3320
96	3320
96	3360
96	3320
96	3320
96	3320
96	3320
96	3320
96	3320
96	3360
96	3320
96	3320
96	3360
96	3360
96	3320
98	3360
98	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3320
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
98	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
98	3360
96	3360
96	3360
96	3360
98	3320
98	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3320
98	3320
96	3360
98	3360
98	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
98	3360
98	3360
98	3360
98	3360
98	3360
96	3360
98	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3320
96	3320
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3320
96	3320
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3320
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
98	3360
98	3360
96	3320
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3320
96	3320
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3320
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
98	3360
98	3320
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
96	3360
96	3360
96	3360
98	3360
98	3320
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
98	3360
98	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3320
98	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
98	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3320
96	3320
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3320
96	3320
98	3360
98	3360
96	3360
96	3360
96	3360
98	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3320
98	3360
96	3360
98	3360
98	3360
98	3360
98	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
98	3360
98	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
96	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3320
96	3320
96	3320
96	3360
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
98	3360
98	3360
98	3360
96	3360
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
98	3360
96	3360
98	3360
98	3360
98	3360
98	3360
98	3360
98	3320
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3320
96	3320
96	3320
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
98	3360
96	3360
98	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
98	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3320
98	3320
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3320
96	3320
96	3320
96	3320
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3320
96	3320
96	3320
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3320
96	3320
96	3320
96	3360
96	3360
96	3360
96	3320
96	3320
96	3360
96	3360
96	3320
96	3320
96	3320
96	3320
96	3320
96	3320
96	3320
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
98	3320
98	3320
96	3360
96	3360
96	3320
98	3360
98	3360
96	3360
98	3360
98	3360
98	3360
98	3360
96	3360
98	3360
96	3360
96	3360
98	3360
96	3360
98	3360
96	3360
96	3360
96	3320
96	3320
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
96	3320
96	3360
96	3320
96	3320
96	3320
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
98	3320
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3320
96	3360
98	3360
96	3320
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3320
96	3320
96	3360
96	3320
96	3360
98	3360
98	3360
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
98	3360
96	3360
96	3320
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3320
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
96	3360
98	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3320
96	3320
96	3320
96	3320
96	3320
96	3320
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
98	3360
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
98	3320
98	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
